1	782140661
2	782140661
3	782140661
4	782140661
5	782140661
6	72227885
7	471200247
8	471200247
9	72227710
10	1558605525
11	1558605525
12	972263608
13	201615762
14	782140114
15	782140114
16	782140114
17	321125169
18	321125169
19	321125169
20	321125169
21	805317554
22	805317554
23	1861004486
24	735712123
25	425188361
26	142001740
27	596004478
28	596004478
29	71414339
30	312311354
31	312287941
32	312243022
33	609610570
34	609610570
35	609610570
36	316602051
37	316602051
38	743222008
39	66214750
40	787960756
41	743206061
42	1590520734
43	60540753
43	60934417
43	156006219
44	440237556
45	373272839
46	60958332
46	60958405
46	393318486
46	670031518
47	738206679
48	67463442
48	67976867
48	393319407
48	679450785
49	1579550088
50	684843285
51	471286168
51	471288217
51	471358983
52	471358983
53	394739698
54	394739698
55	1586851322
56	1586851322
57	1586851357
58	156158648
59	865659982
60	865659982
61	865659982
62	517576600
63	517576600
64	517576600
65	517576600
66	262024829
66	262521415
67	262024829
68	72294337
69	72294337
70	72315318
71	324107501
72	324107501
73	324107501
74	471363049
75	471363049
76	471363049
77	130323519
78	130323519
79	130323519
80	446527793
80	446606812
80	446608955
80	446676098
81	140077022
81	679722955
81	684848155
81	743244249
82	743455967
82	743457358
82	743467523
82	1880418568
83	375703764
84	345452089
85	385504470
86	312276702
87	1880418568
88	262232197
88	324113641
89	471391123
90	130998516
91	1565924916
92	735712360
92	735712379
92	735713170
93	1558606432
94	72222743
95	345336895
95	345376595
95	345409469
95	375508325
95	671004107
96	316096199
96	316666343
97	38572179
97	385494149
97	385494246
97	385494327
98	373218192
98	373218257
98	399149392
98	399149848
99	1561584029
99	1579902944
100	1561586196
101	60502935
101	60855925
101	61020648
101	61020656
101	61092177
101	61161721
102	7324537
102	394800788
102	366625561
102	754290387
103	316307866
104	486400778
104	845747623
